OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Total_Households,Less_than_10000,i10000_to_14999,i15000_to19999,i20000_to_24999,i25000_to_29999,i30000_to_34999,i35000_to_39999,i40000_to_44999,i45000_to_49999,i50000_to_59999,i60000_to_74999,i75000_to_99999,i100000_to_124999,i125000_to_149999,i150000_to_199999,i200000_or_more,Median_Household_Income,TotalFamilies,FamiliesInPoverty,FamilyPovertyRate,SHAPESTArea,SHAPESTLength
1666,37,119,001609,2,371190016092,Block Group 2,0016185,"Block Group 2, Census Tract 16.09, Mecklenburg County, North Carolina",982,110,39,49,105,75,43,42,20,68,138,124,60,77,17,15,0,45526,518,105,0.2027027,14470859.6134033,18153.9915107139
1667,37,119,003109,1,371190031091,Block Group 1,0016319,"Block Group 1, Census Tract 31.09, Mecklenburg County, North Carolina",1088,38,35,78,120,105,102,67,76,57,177,64,116,23,0,20,10,39924,575,109,0.18956522,5838491.63519287,11934.2064522827
1668,37,119,006405,2,371190064052,Block Group 2,0016677,"Block Group 2, Census Tract 64.05, Mecklenburg County, North Carolina",943,20,46,59,11,11,30,66,26,21,59,114,53,84,54,144,145,86250,483,0,0,94166046.9274292,46805.8840929322
1669,37,119,002702,1,371190027021,Block Group 1,0016260,"Block Group 1, Census Tract 27.02, Mecklenburg County, North Carolina",803,13,13,0,37,12,65,0,10,18,43,24,85,16,87,71,309,136995,551,13,0.02359347,17377503.4723511,18116.2113867499
1670,37,119,003013,1,371190030131,Block Group 1,0016296,"Block Group 1, Census Tract 30.13, Mecklenburg County, North Carolina",1124,49,15,0,23,0,15,61,71,43,35,87,16,65,128,142,374,134286,847,56,0.0661157,37092920.7591553,36604.3541276396
1671,37,119,000100,4,371190001004,Block Group 4,0016134,"Block Group 4, Census Tract 1, Mecklenburg County, North Carolina",90,0,19,0,0,0,0,50,0,0,0,0,0,0,0,0,21,0,13,0,0,4499537.53509521,10270.217091271
1672,37,119,005815,1,371190058151,Block Group 1,0016521,"Block Group 1, Census Tract 58.15, Mecklenburg County, North Carolina",1193,44,32,11,27,59,38,12,71,21,95,135,132,109,58,102,247,83750,711,27,0.03797468,45841391.6577148,31477.3316830545
1673,37,119,003500,1,371190035001,Block Group 1,0016335,"Block Group 1, Census Tract 35, Mecklenburg County, North Carolina",689,0,0,0,15,12,21,0,36,26,106,80,112,74,62,69,76,88516,278,0,0,9604402.18121338,15373.0479625246
1674,37,119,004000,3,371190040003,Block Group 3,0016363,"Block Group 3, Census Tract 40, Mecklenburg County, North Carolina",438,33,54,45,35,30,32,18,33,0,52,46,20,24,0,0,16,31719,217,10,0.04608295,12184565.9448242,16104.0846292508
1675,37,119,005907,1,371190059071,Block Group 1,0016589,"Block Group 1, Census Tract 59.07, Mecklenburg County, North Carolina",1226,23,7,0,20,7,11,17,7,27,58,131,150,287,83,280,118,117177,1017,26,0.02556539,43082347.5231323,32032.4252876523
1676,37,119,005711,1,371190057111,Block Group 1,0016500,"Block Group 1, Census Tract 57.11, Mecklenburg County, North Carolina",188,0,69,0,0,0,16,0,0,0,0,45,0,9,14,23,12,,185,58,0.31351351,20911741.7950439,19691.9704580411
1677,37,119,004800,2,371190048002,Block Group 2,0016390,"Block Group 2, Census Tract 48, Mecklenburg County, North Carolina",403,36,67,57,33,8,7,29,8,15,50,40,37,0,0,16,0,32679,282,48,0.17021277,7022314.38745117,11212.1937452245
1678,37,119,005848,1,371190058481,Block Group 1,0016582,"Block Group 1, Census Tract 58.48, Mecklenburg County, North Carolina",802,0,0,0,10,0,0,0,9,0,9,65,85,153,63,151,257,156750,736,0,0,28159153.281311,27016.5471724395
1679,37,119,001509,1,371190015091,Block Group 1,0016172,"Block Group 1, Census Tract 15.09, Mecklenburg County, North Carolina",492,17,40,22,37,14,7,20,59,17,55,47,64,72,9,0,12,55058,344,103,0.2994186,7370779.67889404,12212.2023505428
1680,37,119,005618,1,371190056181,Block Group 1,0016482,"Block Group 1, Census Tract 56.18, Mecklenburg County, North Carolina",665,20,0,0,9,18,46,45,30,29,86,30,76,75,55,94,52,82438,573,11,0.01919721,59761966.8395386,30890.0816061356
1681,37,119,001801,3,371190018013,Block Group 3,0016194,"Block Group 3, Census Tract 18.01, Mecklenburg County, North Carolina",278,0,9,35,0,26,82,10,0,13,20,10,41,22,0,4,6,33194,114,28,0.24561404,5935682.09338379,13254.802459687
1682,37,119,001504,2,371190015042,Block Group 2,0016163,"Block Group 2, Census Tract 15.04, Mecklenburg County, North Carolina",535,77,28,28,32,14,95,17,16,0,41,68,80,12,27,0,0,34654,414,125,0.30193237,12707649.2044678,15665.0663831711
1683,37,119,006006,2,371190060062,Block Group 2,0016613,"Block Group 2, Census Tract 60.06, Mecklenburg County, North Carolina",722,0,22,21,61,57,52,59,66,49,44,102,107,34,30,18,0,46173,588,111,0.18877551,41211947.0464478,39317.0411495634
1684,37,119,000600,1,371190006001,Block Group 1,0016142,"Block Group 1, Census Tract 6, Mecklenburg County, North Carolina",465,9,31,0,40,10,0,0,24,21,56,74,50,71,12,21,46,64147,183,8,0.04371585,3940934.78082275,9395.53447917543
1685,37,119,002002,1,371190020021,Block Group 1,0016231,"Block Group 1, Census Tract 20.02, Mecklenburg County, North Carolina",962,62,32,0,0,17,63,13,29,0,104,97,183,86,76,96,104,79467,631,0,0,21406571.382019,21282.4458608733
1686,37,119,005509,2,371190055092,Block Group 2,0016421,"Block Group 2, Census Tract 55.09, Mecklenburg County, North Carolina",528,0,0,17,0,33,11,0,0,4,179,103,8,115,36,22,0,62907,413,17,0.04116223,14175783.2723999,16825.0260241381
1687,37,119,002905,2,371190029052,Block Group 2,0016275,"Block Group 2, Census Tract 29.05, Mecklenburg County, North Carolina",540,14,27,0,0,0,11,0,10,32,49,41,39,21,7,16,273,218333,306,0,0,16575566.6652832,21385.8448049414
1688,37,119,003102,1,371190031021,Block Group 1,0016307,"Block Group 1, Census Tract 31.02, Mecklenburg County, North Carolina",1016,105,86,36,56,0,0,77,72,17,58,44,151,127,85,26,76,60179,309,12,0.03883495,26494619.1091919,24770.6300053457
1689,37,119,004000,1,371190040001,Block Group 1,0016361,"Block Group 1, Census Tract 40, Mecklenburg County, North Carolina",466,52,82,81,9,9,43,18,29,9,21,22,74,17,0,0,0,30000,302,55,0.18211921,19909538.8936157,20649.5543939061
1690,37,119,005713,1,371190057131,Block Group 1,0016505,"Block Group 1, Census Tract 57.13, Mecklenburg County, North Carolina",842,10,0,6,22,17,30,54,22,9,55,116,102,67,78,111,143,95463,659,17,0.02579666,79370398.1627197,38077.8087994077
1691,37,119,001921,1,371190019211,Block Group 1,0016226,"Block Group 1, Census Tract 19.21, Mecklenburg County, North Carolina",840,58,7,55,39,31,54,55,33,36,88,159,61,79,48,9,28,55403,600,65,0.10833333,27694016.6578979,25936.2770050327
1692,37,119,003807,2,371190038072,Block Group 2,0016352,"Block Group 2, Census Tract 38.07, Mecklenburg County, North Carolina",1098,95,89,97,84,87,50,69,76,60,78,40,162,17,71,23,0,37963,723,260,0.35961272,19094408.4769897,22088.6744085197
1693,37,119,005831,3,371190058313,Block Group 3,0016546,"Block Group 3, Census Tract 58.31, Mecklenburg County, North Carolina",188,24,0,0,23,13,0,0,14,0,27,24,16,37,0,10,0,58906,33,0,0,3781505.02105713,8164.06068510454
1694,37,119,006109,1,371190061091,Block Group 1,0016639,"Block Group 1, Census Tract 61.09, Mecklenburg County, North Carolina",1232,138,34,16,75,73,181,77,50,116,115,55,111,59,80,39,13,41100,603,56,0.09286899,61570073.49823,32146.339093502
1695,37,119,005713,2,371190057132,Block Group 2,0016506,"Block Group 2, Census Tract 57.13, Mecklenburg County, North Carolina",711,9,36,6,28,38,31,49,35,13,5,66,52,154,110,20,59,91375,552,19,0.03442029,68471281.5975952,47526.4247086549
1696,37,119,006204,4,371190062044,Block Group 4,0016646,"Block Group 4, Census Tract 62.04, Mecklenburg County, North Carolina",758,90,13,15,12,44,32,0,35,14,38,58,93,109,72,123,10,78846,308,0,0,16947969.828125,18347.7641950394
1697,37,119,005515,1,371190055151,Block Group 1,0016437,"Block Group 1, Census Tract 55.15, Mecklenburg County, North Carolina",999,30,0,23,21,64,65,44,38,38,45,97,196,79,60,111,88,78672,639,15,0.02347418,24126082.0092163,22846.1826222541
1698,37,119,002905,1,371190029051,Block Group 1,0016274,"Block Group 1, Census Tract 29.05, Mecklenburg County, North Carolina",669,19,30,11,0,0,21,0,16,13,0,0,17,17,54,47,424,247159,555,0,0,22313643.2077637,21999.764973053
1699,37,119,005829,1,371190058291,Block Group 1,0016540,"Block Group 1, Census Tract 58.29, Mecklenburg County, North Carolina",543,21,8,22,46,9,24,102,16,32,87,60,78,8,0,22,8,49336,149,10,0.06711409,20441882.6065674,24247.798905541
1700,37,119,006406,3,371190064063,Block Group 3,0016680,"Block Group 3, Census Tract 64.06, Mecklenburg County, North Carolina",1445,31,10,78,22,17,74,17,58,66,85,162,288,198,136,142,61,84875,966,0,0,25059288.2252197,22266.0113994086
1701,37,119,005843,2,371190058432,Block Group 2,0016572,"Block Group 2, Census Tract 58.43, Mecklenburg County, North Carolina",761,20,0,49,19,24,42,0,0,70,17,140,67,70,55,124,64,74963,474,31,0.06540084,11020846.368103,15220.6800847374
1702,37,119,005612,2,371190056122,Block Group 2,0016473,"Block Group 2, Census Tract 56.12, Mecklenburg County, North Carolina",658,18,8,0,56,52,45,8,9,10,79,63,105,98,43,40,24,73716,436,43,0.09862385,23331729.3203735,21913.6726484926
1703,37,119,003204,2,371190032042,Block Group 2,0016326,"Block Group 2, Census Tract 32.04, Mecklenburg County, North Carolina",698,44,18,38,0,26,27,9,35,9,104,11,99,151,46,63,18,77333,390,31,0.07948718,8551417.00354004,14410.4133073569
