OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,LOGRECNO,geoname,Workers_16_and_older,Drove_alone,Carpool,Public_Transportation,Walked,Other_Means,Non_SOV_Commuters,Pct_Non_SOV_Commuters,SHAPESTArea,SHAPESTLength
2221,37,119,002702,2,371190027022,Block Group 2,0016261,"Block Group 2, Census Tract 27.02, Mecklenburg County, North Carolina",1197,1042,108,38,0,63,209,0.17460317,11769983.265564,14972.9160258914
2222,37,119,002904,4,371190029044,Block Group 4,0016272,"Block Group 4, Census Tract 29.04, Mecklenburg County, North Carolina",503,473,30,15,0,0,45,0.08946322,9060765.30743408,14397.9751730506
2223,37,119,005706,4,371190057064,Block Group 4,0016495,"Block Group 4, Census Tract 57.06, Mecklenburg County, North Carolina",828,771,54,15,0,15,84,0.10144928,65661502.1050415,35512.1741308818
2224,37,119,006006,2,371190060062,Block Group 2,0016613,"Block Group 2, Census Tract 60.06, Mecklenburg County, North Carolina",1035,951,168,0,0,0,168,0.16231884,41211947.0464478,39317.0411495634
2225,37,119,001912,3,371190019123,Block Group 3,0016205,"Block Group 3, Census Tract 19.12, Mecklenburg County, North Carolina",365,297,30,43,0,10,83,0.22739726,6710923.05206299,10853.0928002823
2226,37,119,006407,2,371190064072,Block Group 2,0016682,"Block Group 2, Census Tract 64.07, Mecklenburg County, North Carolina",1112,978,252,0,0,8,260,0.23381295,22796208.8511963,20698.9984889023
2227,37,119,005844,2,371190058442,Block Group 2,0016574,"Block Group 2, Census Tract 58.44, Mecklenburg County, North Carolina",2229,2138,60,38,12,11,121,0.05428443,31380368.0952759,30157.8056603946
2228,37,119,003806,2,371190038062,Block Group 2,0016348,"Block Group 2, Census Tract 38.06, Mecklenburg County, North Carolina",525,447,84,26,0,10,120,0.22857143,36563328.0790405,30252.408740524
2229,37,119,005520,1,371190055201,Block Group 1,0016445,"Block Group 1, Census Tract 55.20, Mecklenburg County, North Carolina",1740,1534,294,0,59,0,353,0.20287356,35512065.3143311,27111.9602349174
2230,37,119,005848,2,371190058482,Block Group 2,0016583,"Block Group 2, Census Tract 58.48, Mecklenburg County, North Carolina",715,707,0,0,8,0,8,0.01118881,22160197.9805298,23810.7026268256
2231,37,119,005511,2,371190055112,Block Group 2,0016426,"Block Group 2, Census Tract 55.11, Mecklenburg County, North Carolina",1048,1018,60,0,0,0,60,0.05725191,7545010.4621582,11892.9646441778
2232,37,119,003102,2,371190031022,Block Group 2,0016308,"Block Group 2, Census Tract 31.02, Mecklenburg County, North Carolina",682,645,56,9,0,0,65,0.09530792,8633780.07373047,14018.4493869156
2233,37,119,003011,2,371190030112,Block Group 2,0016290,"Block Group 2, Census Tract 30.11, Mecklenburg County, North Carolina",408,356,70,17,0,0,87,0.21323529,4370020.72955322,8821.15935993134
2234,37,119,006007,2,371190060072,Block Group 2,0016616,"Block Group 2, Census Tract 60.07, Mecklenburg County, North Carolina",1004,969,70,0,0,0,70,0.06972112,30668858.4972534,24690.2402845423
2235,37,119,002200,2,371190022002,Block Group 2,0016246,"Block Group 2, Census Tract 22, Mecklenburg County, North Carolina",456,344,54,67,18,0,139,0.30482456,11492404.4074707,14762.4878065079
2236,37,119,004100,1,371190041001,Block Group 1,0016365,"Block Group 1, Census Tract 41, Mecklenburg County, North Carolina",426,245,44,90,48,21,203,0.47652582,6090568.93579102,11859.3947558351
2237,37,119,003600,4,371190036004,Block Group 4,0016340,"Block Group 4, Census Tract 36, Mecklenburg County, North Carolina",324,211,174,26,0,0,200,0.61728395,7381553.54742432,12429.1682352637
2238,37,119,005838,3,371190058383,Block Group 3,0016562,"Block Group 3, Census Tract 58.38, Mecklenburg County, North Carolina",2039,1857,142,66,45,0,253,0.12408043,52520700.3789062,38617.861933945
2239,37,119,005709,1,371190057091,Block Group 1,0016496,"Block Group 1, Census Tract 57.09, Mecklenburg County, North Carolina",712,692,40,0,0,0,40,0.05617978,27633430.0601196,23562.2632829376
2240,37,119,005912,2,371190059122,Block Group 2,0016598,"Block Group 2, Census Tract 59.12, Mecklenburg County, North Carolina",2745,2328,786,13,11,0,810,0.29508197,31747980.6030273,27313.1960928091
2241,37,119,004100,4,371190041004,Block Group 4,0016368,"Block Group 4, Census Tract 41, Mecklenburg County, North Carolina",270,124,142,55,9,11,217,0.8037037,7531339.31445312,12671.9752826072
2242,37,119,001702,3,371190017023,Block Group 3,0016190,"Block Group 3, Census Tract 17.02, Mecklenburg County, North Carolina",439,311,180,19,0,19,218,0.49658314,7166614.11645508,13357.5913005519
2243,37,119,005716,1,371190057161,Block Group 1,0016511,"Block Group 1, Census Tract 57.16, Mecklenburg County, North Carolina",1080,981,182,0,0,8,190,0.17592593,11771411.5540771,14512.4257686538
2244,37,119,002002,4,371190020024,Block Group 4,0016234,"Block Group 4, Census Tract 20.02, Mecklenburg County, North Carolina",738,586,304,0,0,0,304,0.41192412,6073022.02069092,10829.3617031134
2245,37,119,002701,2,371190027012,Block Group 2,0016258,"Block Group 2, Census Tract 27.01, Mecklenburg County, North Carolina",431,357,32,18,20,20,90,0.20881671,8635781.57348633,15710.214521393
2246,37,119,005621,3,371190056213,Block Group 3,0016491,"Block Group 3, Census Tract 56.21, Mecklenburg County, North Carolina",758,667,168,0,7,0,175,0.23087071,57424318.2294922,31574.6223572663
2247,37,119,004400,2,371190044002,Block Group 2,0016382,"Block Group 2, Census Tract 44, Mecklenburg County, North Carolina",1439,1054,650,54,0,6,710,0.49339819,55616712.0142822,32350.9582393847
2248,37,119,001100,1,371190011001,Block Group 1,0016152,"Block Group 1, Census Tract 11, Mecklenburg County, North Carolina",774,654,126,0,33,24,183,0.23643411,10474327.5304565,16255.4065660754
2249,37,119,004200,2,371190042002,Block Group 2,0016370,"Block Group 2, Census Tract 42, Mecklenburg County, North Carolina",391,275,44,94,0,0,138,0.35294118,4789563.21313477,10242.8090810343
2250,37,119,001505,1,371190015051,Block Group 1,0016165,"Block Group 1, Census Tract 15.05, Mecklenburg County, North Carolina",1623,1331,522,1,10,20,553,0.34072705,56541430.4644775,30277.9145046945
2251,37,119,005307,1,371190053071,Block Group 1,0016407,"Block Group 1, Census Tract 53.07, Mecklenburg County, North Carolina",1156,753,590,97,11,0,698,0.60380623,6475322.70593262,13593.7645433567
2252,37,119,003007,4,371190030074,Block Group 4,0016284,"Block Group 4, Census Tract 30.07, Mecklenburg County, North Carolina",601,532,80,0,29,0,109,0.18136439,15594368.4906616,19798.6486213811
2253,37,119,006209,3,371190062093,Block Group 3,0016650,"Block Group 3, Census Tract 62.09, Mecklenburg County, North Carolina",1185,1006,68,0,88,57,213,0.17974684,28464702.664978,21854.4639649974
2254,37,119,000600,2,371190006002,Block Group 2,0016143,"Block Group 2, Census Tract 6, Mecklenburg County, North Carolina",1282,832,16,78,345,19,458,0.35725429,7619938.9208374,17053.7411859049
2255,37,119,001911,3,371190019113,Block Group 3,0016202,"Block Group 3, Census Tract 19.11, Mecklenburg County, North Carolina",1315,1129,278,10,0,37,325,0.24714829,12330069.388855,17199.3415862575
